"","adjusted R2","multiple R2","partial R2","beta","p-value","fdr p-value"
"Dentate","0.093","0.155",NA,"-9.03e-03","0.06839","0.1172"
"SNpc","0.103","0.164",NA,"-6.24e-03","0.06459","0.1172"
"SNpr","0.099","0.161",NA,"-1.02e-02","0.01329","0.0319"
"Red.nucleus","0.199","0.254",NA,"-7.76e-03","0.00918","0.0275"
"NBM","0.196","0.251",NA,"-1.79e-02","0.00760","0.0275"
"Caudate","0.166","0.224",NA,"-5.37e-03","0.00438","0.0275"
"Putamen","0.244","0.296",NA,"-7.36e-03","0.00680","0.0275"
"Globus.pallidus","-0.007","0.063",NA,"-5.42e-03","0.13565","0.2035"
"Hippocampus","-0.022","0.049",NA,"2.45e-04","0.80181","0.8018"
"Insula","0.189","0.245",NA,"3.19e-04","0.60648","0.6616"
"Lateral.orbitofrontal.ctx","0.093","0.155",NA,"7.86e-04","0.29602","0.3947"
"Medial.orbitofrontal.ctx","-0.003","0.066",NA,"7.19e-04","0.40414","0.4850"
