"","adjusted R2","multiple R2","partial R2","beta","p-value","fdr p-value"
"Dentate","0.097","0.159",NA,"-9.03e-03","0.06276","0.0825"
"SNpc","0.106","0.168",NA,"-6.31e-03","0.05580","0.0825"
"SNpr","0.1","0.162",NA,"-9.60e-03","0.01311","0.0315"
"Red.nucleus","0.199","0.254",NA,"-7.77e-03","0.00875","0.0262"
"NBM","0.215","0.269",NA,"-1.83e-02","0.00394","0.0237"
"Caudate","0.176","0.233",NA,"-5.32e-03","0.00382","0.0237"
"Putamen","0.251","0.303",NA,"-7.27e-03","0.00669","0.0262"
"Globus.pallidus","0.005","0.074",NA,"-5.97e-03","0.07734","0.0844"
"Hippocampus","0.081","0.145",NA,"-1.26e-03","0.03619","0.0724"
"Insula","0.119","0.18",NA,"-6.88e-04","0.05048","0.0825"
"Lateral.orbitofrontal.ctx","0.179","0.235",NA,"-1.05e-03","0.06876","0.0825"
"Medial.orbitofrontal.ctx","0.02","0.088",NA,"-5.43e-05","0.94194","0.9419"
