"","adjusted R2","multiple R2","partial R2","beta","p-value","fdr p-value"
"Dentate","0.217","0.271",NA,"1.64e-03","0.00082","0.00985"
"SNpc","0.11","0.171",NA,"6.76e-04","0.05014","0.06685"
"SNpr","0.085","0.148",NA,"9.79e-04","0.02072","0.03552"
"Red.nucleus","0.242","0.294",NA,"9.40e-04","0.00178","0.01068"
"NBM","0.217","0.271",NA,"1.99e-03","0.00344","0.01374"
"Caudate","0.129","0.189",NA,"4.67e-04","0.01654","0.03308"
"Putamen","0.235","0.288",NA,"7.23e-04","0.00960","0.02739"
"Globus.pallidus","0.038","0.104",NA,"7.92e-04","0.03096","0.04644"
"Hippocampus","-0.013","0.057",NA,"7.07e-05","0.47819","0.52167"
"Insula","0.277","0.327",NA,"-1.56e-04","0.01141","0.02739"
"Lateral.orbitofrontal.ctx","0.075","0.139",NA,"-1.94e-05","0.80200","0.80200"
"Medial.orbitofrontal.ctx","0.044","0.11",NA,"-1.58e-04","0.07049","0.08458"
