"","adjusted R2","multiple R2","partial R2","beta","p-value","fdr p-value"
"Dentate","0.217","0.271",NA,"1.59e-03","0.000876","0.0105"
"SNpc","0.112","0.174",NA,"6.77e-04","0.044401","0.0624"
"SNpr","0.091","0.153",NA,"9.38e-04","0.018069","0.0310"
"Red.nucleus","0.238","0.291",NA,"9.26e-04","0.001993","0.0116"
"NBM","0.224","0.277",NA,"1.93e-03","0.002889","0.0116"
"Caudate","0.137","0.196",NA,"4.62e-04","0.015267","0.0310"
"Putamen","0.244","0.296",NA,"7.20e-04","0.008831","0.0265"
"Globus.pallidus","0.054","0.12",NA,"8.26e-04","0.015620","0.0310"
"Hippocampus","0.007","0.076",NA,"-3.08e-05","0.622941","0.6229"
"Insula","0.121","0.182",NA,"7.16e-05","0.046763","0.0624"
"Lateral.orbitofrontal.ctx","0.169","0.226",NA,"9.70e-05","0.102785","0.1233"
"Medial.orbitofrontal.ctx","0.025","0.092",NA,"4.06e-05","0.594541","0.6229"
